Depth: 27.71 cm, Image: pothole_1699672621.jpg
Depth: 28.82 cm, Image: pothole_1699672633.jpg
Depth: 27.83 cm, Image: pothole_1699673180.jpg
Depth: 1199.77 cm, Image: pothole_1699673198.jpg
Depth: 34.85 cm, Image: pothole_1699673212.jpg
Depth: 37.65 cm, Image: pothole_1699673225.jpg
Depth: 29.67 cm, Image: pothole_1699673748.jpg
Depth: 28 cm, Image: pothole_1699903537.jpg
Depth: 28 cm, Image: pothole_1699903556.jpg
Depth: 28 cm, Image: pothole_1699903570.jpg
Depth: 28 cm, Image: pothole_1699903584.jpg
Depth: 28 cm, Image: pothole_1699903598.jpg
Depth: 28 cm, Image: pothole_1699903612.jpg
Depth: 28 cm, Image: pothole_1699904175.jpg
Depth: 28 cm, Image: pothole_1699904468.jpg
Depth: 28 cm, Image: pothole_1699904624.jpg
Depth: 28 cm, Image: pothole_1699904701.jpg
Depth: 28 cm, Image: pothole_1699904743.jpg
Depth: 28 cm, Image: pothole_1699904754.jpg
Depth: 28 cm, Image: pothole_1699904766.jpg
Depth: 28 cm, Image: pothole_1699904777.jpg
Depth: 28 cm, Image: pothole_1699904795.jpg
Depth: 28 cm, Image: pothole_1699904807.jpg
Depth: 28 cm, Image: pothole_1699904818.jpg
Depth: 28 cm, Image: pothole_1699905030.jpg
Depth: 28 cm, Image: pothole_1699905041.jpg
Depth: 28 cm, Image: pothole_1699905052.jpg
Depth: 28 cm, Image: pothole_1699905064.jpg
Depth: 28 cm, Image: pothole_1699905075.jpg
Depth: 28 cm, Image: pothole_1699905087.jpg
Depth: 28 cm, Image: pothole_1699905098.jpg
Depth: 28 cm, Image: pothole_1699905135.jpg
Depth: 28 cm, Image: pothole_1699905147.jpg
Depth: 104.47 cm, Image: pothole_1700221296.jpg
Depth: 1198.94 cm, Image: pothole_1700221318.jpg
Depth: 53.37 cm, Image: pothole_1700221806.jpg
Depth: 65.69 cm, Image: pothole_1700221819.jpg
Depth: 64.78 cm, Image: pothole_1700221835.jpg
Depth: 1198.38 cm, Image: pothole_1700221851.jpg
